Season,Team,Games,Wins,Loses,WL_pct,Team_MP,Team_FG,Team_FGA,Team_2P,Team_2PA,Team_3P,Team_3PA,Team_FT,Team_FTA,Team_ORB,Team_DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Team_PTS,Opponent_FG,Opponent_FGA,Opponent_2P,Opponent_2PA,Opponent_3P,Opponent_3PA,Opponent_FT,Opponent_FTA,Opponent_ORB,Opponent_DRB,Opponent_TRB,Opponent_AST,Opponent_STL,Opponent_BLK,Opponent_TOV,Opponent_PF,Opponent_PTS,Team_MOV,Team_SOS,Team_SRS,Team_Pace,Team_ORtg,Team_DRtg,Team_eFG%,Team_TS_pct,Team_TOV%,Team_ORB%,Team_FTr,Opponent_eFG%,Opponent_TS%,Opponent_TOV%,Opponent_ORB%,Opponent_FTr,Division,Salary,Adjusted_Salary,Conference
2021-22,WAS,82,35,47,0.427,241.8,40.6,86.0,30.1,55.4,10.5,30.6,17.0,21.7,9.0,34.1,43.1,25.0,6.4,5.0,13.1,18.8,108.6,41.3,88.9,29.8,57.1,11.5,31.8,18.0,22.3,10.2,34.0,44.2,23.7,7.3,4.2,11.9,19.9,112.0,-3.38,0.15,-3.23,97.0,111.1,114.5,0.532,0.568,12.1,20.9,0.252,0.529,0.568,10.7,23.1,0.251,Southeast,128019790,139618062,Eastern
2021-22,UTA,82,49,33,0.598,240.6,40.6,86.2,26.0,45.8,14.5,40.3,17.9,23.4,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,113.6,40.4,89.2,28.3,54.6,12.1,34.6,14.6,19.3,9.9,31.7,41.6,23.4,7.8,4.3,12.0,20.3,107.6,6.04,-0.37,5.67,97.1,116.7,110.5,0.555,0.589,12.7,25.4,0.271,0.521,0.55,10.9,21.7,0.216,Northwest,149760719,163328668,Western
2021-22,TOR,82,48,34,0.585,242.1,40.6,91.3,28.7,57.1,11.9,34.2,16.2,21.3,13.4,32.0,45.3,22.1,9.0,4.6,12.5,19.6,109.4,39.0,84.4,26.6,49.5,12.4,34.9,16.8,21.2,10.3,33.7,44.0,25.3,6.7,5.1,15.8,19.1,107.1,2.29,0.08,2.38,96.0,112.9,110.5,0.51,0.543,11.0,28.4,0.234,0.535,0.571,14.4,24.4,0.252,Atlantic,134896484,147117769,Eastern
2021-22,SAS,82,34,48,0.415,241.5,43.2,92.7,32.0,60.7,11.3,32.0,15.4,20.4,11.0,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2,42.5,91.2,30.4,57.5,12.1,33.6,16.0,20.9,11.4,35.4,46.8,24.0,7.3,4.9,13.8,18.9,113.0,0.12,-0.1,0.02,100.0,112.4,112.3,0.527,0.556,11.1,23.7,0.22,0.532,0.563,12.1,24.9,0.229,Southwest,127655401,139220659,Western
2021-22,SAC,82,30,52,0.366,241.5,40.5,88.1,29.1,54.9,11.4,33.2,17.9,23.3,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3,43.4,90.6,30.4,55.7,13.0,34.9,15.9,20.5,10.6,35.3,45.8,25.3,8.1,4.8,13.5,20.3,115.8,-5.46,0.2,-5.26,99.8,109.9,115.3,0.525,0.561,12.5,21.3,0.264,0.551,0.581,11.9,24.0,0.226,Pacific,130457848,142277004,Western
2021-22,POR,82,27,55,0.329,240.6,38.5,87.1,25.8,50.3,12.7,36.8,16.4,21.6,10.4,32.5,42.9,22.9,8.0,4.5,14.5,21.1,106.2,41.1,85.9,27.4,48.8,13.8,37.1,19.1,24.6,9.8,35.0,44.7,26.6,8.2,5.0,14.0,19.4,115.1,-8.88,0.33,-8.55,98.3,107.8,116.9,0.515,0.55,13.0,22.9,0.248,0.559,0.595,12.7,23.1,0.286,Northwest,124788473,136093994,Western
2021-22,PHO,82,64,18,0.78,240.6,43.7,90.1,32.1,58.2,11.6,31.9,15.9,19.9,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,39.2,88.3,27.6,54.1,11.6,34.2,17.3,22.7,10.5,33.9,44.5,22.9,7.5,4.0,14.7,18.9,107.3,7.5,-0.56,6.94,99.8,114.8,107.3,0.549,0.581,11.6,22.3,0.221,0.51,0.546,13.0,22.9,0.257,Pacific,136476474,148840901,Western
2021-22,PHI,82,51,31,0.622,241.5,39.4,84.5,27.8,52.7,11.6,31.8,19.6,23.8,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9,39.7,86.5,28.3,53.7,11.4,32.8,16.6,21.6,10.2,34.0,44.2,23.6,6.6,4.6,13.3,19.4,107.3,2.61,-0.04,2.57,96.2,113.5,110.8,0.534,0.578,11.6,20.1,0.282,0.524,0.559,12.1,23.2,0.25,Atlantic,148922969,162415018,Eastern
2021-22,ORL,82,22,60,0.268,241.2,38.3,88.3,26.1,51.4,12.2,36.9,15.5,19.7,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2,40.8,89.0,27.6,52.7,13.2,36.3,17.4,22.6,10.4,36.8,47.1,24.8,8.0,5.2,13.2,18.3,112.2,-8.0,0.33,-7.67,99.2,104.5,112.5,0.503,0.538,13.0,19.8,0.223,0.532,0.567,11.7,22.8,0.254,Southeast,126786646,138273195,Eastern
2021-22,OKC,82,24,58,0.293,241.5,38.3,89.1,26.2,51.8,12.1,37.4,15.0,19.9,10.4,35.2,45.6,22.2,7.6,4.6,14.0,18.3,103.7,41.4,90.5,27.8,51.8,13.6,38.7,15.3,19.9,11.0,37.3,48.4,26.1,8.5,6.0,13.2,17.8,111.8,-8.1,0.2,-7.9,98.5,104.6,112.8,0.497,0.53,12.5,21.8,0.223,0.533,0.563,11.8,23.9,0.22,Northwest,82022873,89453934,Western
2021-22,NYK,82,37,45,0.451,241.2,37.7,86.2,24.5,49.3,13.2,36.9,18.0,24.1,11.5,34.6,46.1,21.9,7.0,4.9,13.3,20.4,106.5,38.5,86.0,25.8,49.0,12.7,37.0,17.0,22.3,9.3,34.3,43.6,24.2,7.0,4.6,12.7,20.4,106.6,-0.12,0.11,-0.01,95.9,110.4,110.5,0.513,0.55,12.0,25.1,0.28,0.521,0.557,11.7,21.2,0.259,Atlantic,120644081,131574134,Eastern
